area_name,population_2023,assault_rate_2023,autotheft_rate_2023,biketheft_rate_2023,breakenter_rate_2023,homicide_rate_2023,robbery_rate_2023,shooting_rate_2023,theftfrommv_rate_2023,theftover_rate_2023,avg_crime_rates
Broadview North,12200,0.6639344482,0.1393442688,0.0901639328,0.1803278656,NA,0.02459016418,NA,0.229508194,0.02459016418,0.1502732264177778
Leaside-Bennington,18185,0.20896342469999998,0.6158922119,0.0659884491,0.26945285030000005,NA,0.02749518776,NA,0.29694802859999997,0.04949134064,0.17047016588888889
Thorncliffe Park,22508,0.5686867065,0.2443575592,0.04442864609,0.2177003784,NA,0.05331437683,0.01777145958,0.1466145325,0.03554291916,0.14760184202888887
O'Connor-Parkview,19901,0.6683081055,0.3065172729,0.04019898605,0.2210944214,0.005024873257,0.015074619289999999,NA,0.19094517519999998,0.03014923859,0.16414585468744444
Henry Farm,22782,0.4696690369,0.2940918274,0.03511544037,0.1097357559,0.004389430046,0.05706259155,NA,0.39065930179999997,0.04389430237,0.1560686318151111
Bayview Village,25685,0.5333852538999999,0.3737590027,0.06618649292,0.2569593201,NA,0.03503990555,0.0077866458889999995,0.4477321472,0.0700798111,0.19899206437322223
Newtonbrook East,17338,0.5017879944,0.4325758362,0.04614142227,0.2076363983,0.005767677784,0.1153535614,0.005767677784,0.24801014710000002,0.08651516724,0.18328398694200002
Bayview Woods-Steeles,13641,0.43985046390000004,0.2492485962,0.02199252319,0.19793270870000002,NA,0.05131588745,NA,0.2419177551,0.007330841064,0.1343987528448889
Hillcrest Village,18076,0.3761894226,0.4038504028,0.01106439495,0.22128790280000002,NA,0.07191856384,0.005532197475,0.2323522949,0.0442575798,0.15182808435166667
Alderwood,13503,0.3258535156,0.3554765625,0.01481152344,0.1481152344,NA,0.05924609375,NA,0.1184921875,0.05924609375,0.12013791232666667
Long Branch,11601,0.8275148926000001,0.3189380188,0.1379191437,0.2327385559,NA,0.06033962631,NA,0.16377899170000002,0.01723989296,0.19538545799666668
New Toronto,12205,1.376485107,0.3113478088,0.07374027252000001,0.3113478088,NA,0.13109381099999998,0.008193363189999999,0.2949610901,0.04096681595,0.28312623081777777
Stonegate-Queensway,26728,0.512571106,0.5537264404,0.02618976402,0.37788085940000005,0.007482789516000001,0.06734510803,0.0037413947580000003,0.25815625,0.0411553421,0.20536100602488888
Kingsway South,10257,0.6337135620000001,0.8579506836,0.08774495697000001,0.5362191772,NA,0.07799551392,NA,0.1267427139,0.05849663544,0.26431813811444443
